"","date","precipitation","maxTemperature"
"96",2014-04-06,0,60.98
"97",2014-04-07,0.519685039370079,53.06
"98",2014-04-08,0.338582677165354,64.04
"99",2014-04-09,0,60.98
"100",2014-04-10,0,57.92
"101",2014-04-11,0,75.02
"102",2014-04-12,0,73.04
"103",2014-04-13,0,77
"104",2014-04-14,0,75.02
"105",2014-04-15,0.708661417322835,62.96
"106",2014-04-16,0.0511811023622047,48.92
"107",2014-04-17,0,48.02
"108",2014-04-18,0,48.92
"109",2014-04-19,0,68
"110",2014-04-20,0,60.08
"111",2014-04-21,0,66.92
"112",2014-04-22,0.0118110236220472,71.06
"113",2014-04-23,0,60.98
"114",2014-04-24,0,62.06
"115",2014-04-25,0.0196850393700787,62.96
"116",2014-04-26,0.921259842519685,66.92
"117",2014-04-27,0,59
"118",2014-04-28,0,66.92
"119",2014-04-29,0.031496062992126,51.98
"120",2014-04-30,4.96850393700787,51.98
"121",2014-05-01,0.118110236220472,78.08
"122",2014-05-02,0,69.98
"123",2014-05-03,0.078740157480315,71.06
"124",2014-05-04,0.0196850393700787,64.94
"125",2014-05-05,0,69.98
"126",2014-05-06,0,71.06
"127",2014-05-07,0,69.08
"128",2014-05-08,0.409448818897638,59
"129",2014-05-09,0.0393700787401575,62.96
"130",2014-05-10,0.37007874015748,82.94
"131",2014-05-11,0.031496062992126,82.04
"132",2014-05-12,0,84.92
"133",2014-05-13,0,73.04
"134",2014-05-14,0.0118110236220472,71.06
"135",2014-05-15,0.149606299212598,71.06
"136",2014-05-16,1.53937007874016,68
"137",2014-05-17,0,69.98
"138",2014-05-18,0,66.92
"139",2014-05-19,0,71.96
"140",2014-05-20,0,78.08
"141",2014-05-21,0,73.94
"142",2014-05-22,0.240157480314961,66.92
"143",2014-05-23,0.909448818897638,71.06
"144",2014-05-24,0.401574803149606,69.98
"145",2014-05-25,0,80.06
"146",2014-05-26,0,86
"147",2014-05-27,0,86
"148",2014-05-28,0,64.04
"149",2014-05-29,0,66.02
"150",2014-05-30,0,75.02
"151",2014-05-31,0.0511811023622047,73.04
"152",2014-06-01,0,77
"153",2014-06-02,0,80.06
"154",2014-06-03,0.118110236220472,87.08
"155",2014-06-04,0,82.04
"156",2014-06-05,0.87007874015748,75.92
"157",2014-06-06,0,75.92
"158",2014-06-07,0,82.04
"159",2014-06-08,0,86
"160",2014-06-09,1.59842519685039,73.04
"161",2014-06-10,0,77
"162",2014-06-11,0.0196850393700787,69.98
"163",2014-06-12,0.0708661417322835,73.04
"164",2014-06-13,1.27952755905512,78.98
"165",2014-06-14,0,73.94
"166",2014-06-15,0,80.06
"167",2014-06-16,0,80.96
"168",2014-06-17,0,89.06
"169",2014-06-18,0,89.06
"170",2014-06-19,0.149606299212598,77
"171",2014-06-20,0,78.98
"172",2014-06-21,0,78.08
"173",2014-06-22,0,78.98
"174",2014-06-23,0,80.96
"175",2014-06-24,0,80.96
"176",2014-06-25,0.078740157480315,84.92
"177",2014-06-26,0.0708661417322835,84.92
"178",2014-06-27,0,82.94
"179",2014-06-28,0,87.08
"180",2014-06-29,0,82.94
"181",2014-06-30,0,84.02
"182",2014-07-01,0,89.06
"183",2014-07-02,0.960629921259842,91.04
"184",2014-07-03,1.77952755905512,87.08
"185",2014-07-04,0.141732283464567,73.94
"186",2014-07-05,0,80.96
"187",2014-07-06,0,84.02
"188",2014-07-07,0.0393700787401575,89.96
"189",2014-07-08,0.389763779527559,91.04
"190",2014-07-09,0.0905511811023622,87.98
"191",2014-07-10,0,82.94
"192",2014-07-11,0,86
"193",2014-07-12,0,84.92
"194",2014-07-13,0.031496062992126,82.94
"195",2014-07-14,0.460629921259843,84.02
"196",2014-07-15,1.2992125984252,86
"197",2014-07-16,0,80.96
"198",2014-07-17,0,80.96
"199",2014-07-18,0,80.96
"200",2014-07-19,0,75.92
"201",2014-07-20,0,80.06
"202",2014-07-21,0,84.92
"203",2014-07-22,0,86
"204",2014-07-23,0.188976377952756,87.98
"205",2014-07-24,0,80.06
"206",2014-07-25,0,82.04
"207",2014-07-26,0,80.96
"208",2014-07-27,0.0196850393700787,84.92
"209",2014-07-28,0.188976377952756,82.04
"210",2014-07-29,0,75.92
"211",2014-07-30,0,80.06
"212",2014-07-31,0,82.04
"213",2014-08-01,0,84.02
"214",2014-08-02,0.409448818897638,73.94
"215",2014-08-03,0.0708661417322835,75.92
"216",2014-08-04,0,84.02
"217",2014-08-05,0,89.96
"218",2014-08-06,0,82.94
"219",2014-08-07,0,82.94
"220",2014-08-08,0,82.94
"221",2014-08-09,0,87.08
"222",2014-08-10,0,87.98
"223",2014-08-11,0,87.08
"224",2014-08-12,0.188976377952756,78.98
"225",2014-08-13,0.531496062992126,82.04
"226",2014-08-14,0,77
"227",2014-08-15,0,73.04
"228",2014-08-16,0,78.08
"229",2014-08-17,0.0118110236220472,82.04
"230",2014-08-18,0,80.96
"231",2014-08-19,0,82.94
"232",2014-08-20,0,84.02
"233",2014-08-21,0.350393700787402,82.94
"234",2014-08-22,0.0590551181102362,78.98
"235",2014-08-23,0.0118110236220472,77
"236",2014-08-24,0,80.06
"237",2014-08-25,0,87.98
"238",2014-08-26,0,89.06
"239",2014-08-27,0,89.96
"240",2014-08-28,0,82.04
"241",2014-08-29,0,80.06
"242",2014-08-30,0,80.06
"243",2014-08-31,0.618110236220472,89.96
"244",2014-09-01,0,87.98
"245",2014-09-02,0,91.94
"246",2014-09-03,0,86
"247",2014-09-04,0,87.08
"248",2014-09-05,0,87.08
"249",2014-09-06,0.110236220472441,91.04
"250",2014-09-07,0,80.96
"251",2014-09-08,0,75.02
"252",2014-09-09,0,73.04
"253",2014-09-10,0,80.06
"254",2014-09-11,0,82.94
"255",2014-09-12,0,78.08
"256",2014-09-13,0.259842519685039,69.08
"257",2014-09-14,0,71.06
"258",2014-09-15,0,71.06
"259",2014-09-16,0.37007874015748,69.98
"260",2014-09-17,0,73.04
"261",2014-09-18,0,75.92
"262",2014-09-19,0,66.02
"263",2014-09-20,0,75.02
"264",2014-09-21,0.149606299212598,75.02
"265",2014-09-22,0,71.06
"266",2014-09-23,0,71.06
"267",2014-09-24,0,71.06
"268",2014-09-25,0.318897637795276,64.04
"269",2014-09-26,0,77
"270",2014-09-27,0,82.94
"271",2014-09-28,0,84.02
"272",2014-09-29,0,78.98
"273",2014-09-30,0,71.06
"274",2014-10-01,0.0196850393700787,64.94
"275",2014-10-02,0,69.98
"276",2014-10-03,0,71.06
"277",2014-10-04,1.18110236220472,69.08
"278",2014-10-05,0,60.98
"279",2014-10-06,0,69.08
"280",2014-10-07,0.0590551181102362,71.06
"281",2014-10-08,0.0393700787401575,73.04
"282",2014-10-09,0,68
"283",2014-10-10,0,64.04
"284",2014-10-11,0.330708661417323,60.08
"285",2014-10-12,0,62.96
"286",2014-10-13,0.0511811023622047,64.94
"287",2014-10-14,0,75.92
"288",2014-10-15,0.688976377952756,77
"289",2014-10-16,1.11023622047244,71.06
"290",2014-10-17,0,71.06
"291",2014-10-18,0,69.98
"292",2014-10-19,0,55.94
"293",2014-10-20,0,60.08
"294",2014-10-21,0.110236220472441,66.92
"295",2014-10-22,1.51181102362205,57.92
"296",2014-10-23,0.610236220472441,53.06
"297",2014-10-24,0,62.96
"298",2014-10-25,0.0118110236220472,66.92
"299",2014-10-26,0,62.96
"300",2014-10-27,0,62.96
"301",2014-10-28,0,71.96
"302",2014-10-29,0,71.96
"303",2014-10-30,0,59
"304",2014-10-31,0.0511811023622047,55.04
"305",2014-11-01,0.350393700787402,46.94
"306",2014-11-02,0,48.02
"307",2014-11-03,0,60.98
"308",2014-11-04,0,68
"309",2014-11-05,0,64.04
"310",2014-11-06,0.37007874015748,57.02
"311",2014-11-07,0,53.06
"312",2014-11-08,0,48.02
"313",2014-11-09,0,57.02
"314",2014-11-10,0,60.98
"315",2014-11-11,0,64.04
"316",2014-11-12,0,64.94
"317",2014-11-13,0.200787401574803,48.02
"318",2014-11-14,0.0590551181102362,42.08
"319",2014-11-15,0,42.08
"320",2014-11-16,0.031496062992126,44.96
"321",2014-11-17,1.53937007874016,51.98
"322",2014-11-18,0,44.96
"323",2014-11-19,0,35.96
"324",2014-11-20,0,44.96
"325",2014-11-21,0,37.04
"326",2014-11-22,0,44.06
"327",2014-11-23,0,57.02
"328",2014-11-24,0.700787401574803,69.08
"329",2014-11-25,0,68
"330",2014-11-26,1.24015748031496,51.08
"331",2014-11-27,0.0196850393700787,37.94
"332",2014-11-28,0,37.04
"333",2014-11-29,0,44.96
"334",2014-11-30,0,55.04
"335",2014-12-01,0.0905511811023622,64.94
"336",2014-12-02,0.078740157480315,42.98
"337",2014-12-03,0.0590551181102362,46.04
"338",2014-12-04,0,44.96
"339",2014-12-05,0.511811023622047,44.06
"340",2014-12-06,1.22047244094488,50
"341",2014-12-07,0.0393700787401575,42.08
"342",2014-12-08,0,37.04
"343",2014-12-09,2.53937007874016,42.08
"344",2014-12-10,0.078740157480315,39.92
"345",2014-12-11,0.0118110236220472,37.94
"346",2014-12-12,0,37.94
"347",2014-12-13,0,44.06
"348",2014-12-14,0,46.04
"349",2014-12-15,0,48.02
"350",2014-12-16,0.200787401574803,48.92
"351",2014-12-17,0.0196850393700787,53.96
"352",2014-12-18,0,42.08
"353",2014-12-19,0,37.94
"354",2014-12-20,0,33.08
"355",2014-12-21,0,35.96
"356",2014-12-22,0.0393700787401575,44.06
"357",2014-12-23,0.161417322834646,46.04
"358",2014-12-24,0.799212598425197,57.92
"359",2014-12-25,0.0905511811023622,62.06
"360",2014-12-26,0,50
"361",2014-12-27,0,55.04
"362",2014-12-28,0.0984251968503937,53.96
"363",2014-12-29,0,44.06
"364",2014-12-30,0,33.98
"365",2014-12-31,0,32
